Omega,epsilon
0.01,-0.24642278683800237
0.03,-0.2467028521506336
0.049999999999999996,-0.24726273782449346
0.06999999999999999,-0.24810200217640244
0.08999999999999998,-0.24922009865838035
0.10999999999999997,-0.25061650349791503
0.12999999999999998,-0.25229087006860834
0.15,-0.25424320215240453
0.16999999999999998,-0.2564740415909661
0.18999999999999997,-0.25898467087606275
0.20999999999999996,-0.26177733785812524
0.22999999999999998,-0.2648555185681853
0.24999999999999997,-0.2682242471941194
0.26999999999999996,-0.27189056452687527
0.29,-0.27586417981472994
0.30999999999999994,-0.2801585383143556
0.32999999999999996,-0.28479273935349997
0.35,-0.2897955611063819
0.36999999999999994,-0.29521667240506133
0.38999999999999996,-0.3011938353287131
0.4099999999999999,-0.30774098543358974
0.42999999999999994,-0.31465471856988597
0.44999999999999996,-0.32185048162536134
0.4699999999999999,-0.32927653845888233
0.48999999999999994,-0.33689637104235004
0.5099999999999999,-0.344682448482273
0.5299999999999999,-0.3526131803415022
0.5499999999999999,-0.360671173781346
0.57,-0.3688421368410258
0.59,-0.37711414254896053
0.6099999999999999,-0.3854771118319971
0.6299999999999999,-0.39392243731698545
0.6499999999999999,-0.40244270210008654
0.6699999999999999,-0.41103146486999503
0.69,-0.4196830927443121
0.7099999999999999,-0.4283926292406903
0.7299999999999999,-0.43715568864042825
0.7499999999999999,-0.44596837050573396
0.7699999999999999,-0.4548271898242149
0.7899999999999999,-0.46372901941279326
